id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position
358,2023-11-15 07:14:02.037204+00:00,,t,local,hlx16,72413631257990449,648518346499375710,[ 11464 125152   3191]
125,2023-11-09 05:48:05.342543+00:00,,t,local,8B,72624737423562193,648518346490964001,[ 17064 125168   3075]
126,2023-11-09 05:48:05.343331+00:00,,t,local,0A,73188031376945167,648518346459783172,[ 33608 135552   3830]
150,2023-11-10 05:37:14.755945+00:00,,t,intrinsic,12B_u,72835775137552088,648518346486928865,[ 23592 123096   3345]
31,2023-11-08 21:23:21.676330+00:00,,t,local,5B,73258400053963790,648518346485757715,[ 35168 136544   3691]
92,2023-11-09 02:45:19.196712+00:00,,t,intrinsic,13A,72695999923263709,648518346495706987,[ 20280 153496   3736]
89,2023-11-09 02:45:19.194757+00:00,,t,local_intersegmental,12A_u,73118349089296959,648518346500061836,[ 31880 157216   2414]
94,2023-11-09 02:45:19.198104+00:00,,t,intrinsic,8A,72413699507629939,648518346489914455,[ 10999 128027   2288]
95,2023-11-09 02:45:19.198735+00:00,,t,intrinsic,5B,73258331535374563,648518346480837344,[ 35288 133992   3980]
111,2023-11-09 02:45:19.208735+00:00,,t,ascending,23B,72694761496666883,648518346494446450,[ 18520 116416   1032]
105,2023-11-09 02:45:19.205120+00:00,,t,intrinsic,3B,72694831558049968,648518346526264535,[ 19616 117272   3564]
106,2023-11-09 02:45:19.205711+00:00,,t,intrinsic,6A,72977543284012316,648518346509465987,[ 27192 153704   3193]
108,2023-11-09 02:45:19.206922+00:00,,t,local,6A,72907380496743762,648518346493939854,[ 25424 160280   2701]
109,2023-11-09 02:45:19.207534+00:00,,t,local,6B,73328837584793900,648518346511774576,[ 36968 138296   3846]
157,2023-11-10 05:37:14.760331+00:00,,t,intrinsic,8B,72624737825990576,648518346496277077,[ 17056 125568   3790]
112,2023-11-09 02:45:19.209348+00:00,,t,mn,DVM_1,72554300228150196,648518346492384195,[ 15656 124768   3554]
7,2023-11-08 06:09:33.702885+00:00,,t,intrinsic,t3_uk,73189816405136801,648518346485716499,[ 34640 189608    522]
133,2023-11-09 21:49:30.650199+00:00,,t,intrinsic,23B,72836804990421258,648518346480754945,[ 23432 153752   1624]
25,2023-11-08 21:23:21.672659+00:00,,t,local,17A,72483930074627963,648518346487026403,[ 13568 122896    814]
29,2023-11-08 21:23:21.675026+00:00,,t,local,5B,73118143333338284,648518346491800382,[ 31920 150640   3112]
23,2023-11-08 21:23:21.671467+00:00,,t,ascending,12B,73188443492360565,648518346494810935,[ 33080 149488   3443]
161,2023-11-10 06:06:56.977281+00:00,,t,local_intersegmental,13A,72484618812850844,648518346496137930,[ 13432 143448   3772]
162,2023-11-10 06:06:56.978019+00:00,,t,local_intersegmental,uk,72484412654519347,648518346489558105,[ 14120 137752   3796]
140,2023-11-09 21:49:30.655161+00:00,,t,intrinsic,12B,74033897536845209,648518346494390267,[ 57432 179456    183]
28,2023-11-08 21:23:21.674435+00:00,,t,local_intersegmental,8B,72624600118589603,648518346512233407,[ 16808 122696   3289]
134,2023-11-09 21:49:30.650832+00:00,,t,intrinsic,5B_u,72977268741613380,648518346511046786,[ 28424 146552   3755]
33,2023-11-08 21:23:21.677526+00:00,,t,intrinsic,19A,72344017823891951,648518346501187177,[  8225 148162   1973]
139,2023-11-09 21:49:30.654502+00:00,,t,intrinsic,t2_uk,72555398867464141,648518346520173905,[ 16088 156216   1908]
21,2023-11-08 21:23:21.670249+00:00,,t,local,17A,72483930208948402,648518346480374486,[ 12744 124312   1139]
24,2023-11-08 21:23:21.672075+00:00,,t,intrinsic,12B,72978504215995451,648518346498424560,[ 27928 184272   1018]
