id,created,superceded_id,valid,classification_system,cell_type,pt_supervoxel_id,pt_root_id,pt_position
864,2025-05-23 20:41:44.788491+00:00,,t,cluster_10,HP_tegula,72272617817638791,648518346490116188,[  6150 118074   1154]
865,2025-05-23 20:41:44.810628+00:00,,t,cluster_10,HP_tegula,72343192720642193,648518346499735180,[ 10062 123041   1154]
866,2025-05-23 20:41:44.831221+00:00,,t,cluster_10,HP_tegula,72413561464820857,648518346512213073,[ 10987 123159   1154]
867,2025-05-23 20:41:44.854056+00:00,,t,cluster_11,CS_field,72131949049053144,648518346491366177,[  3831 120713   1154]
868,2025-05-23 20:41:44.874637+00:00,,t,cluster_11,CS_field,72131949049040454,648518346491366433,[  3692 120718   1154]
869,2025-05-23 20:41:44.899343+00:00,,t,cluster_11,CS_field,72131949049079419,648518346501556067,[  3384 120510   1154]
870,2025-05-23 20:41:44.920218+00:00,,t,cluster_11,CS_field,72202386512771923,648518346482560148,[  4138 121138   1154]
871,2025-05-23 20:41:44.944789+00:00,,t,cluster_11,CS_field,72131949049046086,648518346485033629,[  3313 120611   1154]
872,2025-05-23 20:41:44.970024+00:00,,t,cluster_11,CS_field,72202317793273492,648518346485818820,[  4439 118870   1154]
873,2025-05-23 20:41:44.994888+00:00,,t,cluster_11,CS_field,72131880329547281,648518346500762328,[  3237 117951   1154]
874,2025-05-23 20:41:45.018337+00:00,,t,cluster_11,CS_field,72202317793345867,648518346501556323,[  4983 118954   1154]
875,2025-05-23 20:41:45.039567+00:00,,t,cluster_12,thorax_receptor,72413561464817396,648518346484550813,[ 12266 123667   1154]
876,2025-05-23 20:41:45.060180+00:00,,t,cluster_12,thorax_receptor,72413561464821431,648518346488631118,[ 11787 123650   1154]
877,2025-05-23 20:41:45.084500+00:00,,t,cluster_12,thorax_receptor,72413561464813220,648518346501184344,[ 11613 123253   1154]
878,2025-05-23 20:41:45.104824+00:00,,t,cluster_12,thorax_receptor,72413561464944784,648518346488944617,[ 12092 123761   1154]
879,2025-05-23 20:41:45.124379+00:00,,t,cluster_12,thorax_receptor,72413561464810169,648518346488958698,[ 11360 123553   1154]
880,2025-05-23 20:41:45.146055+00:00,,t,cluster_13,unidentified,72131880329491858,648518346487888619,[  2186 118735   1154]
881,2025-05-23 20:41:45.167085+00:00,,t,cluster_13,unidentified,72554368276595075,648518346494385266,[ 15024 125959   2294]
882,2025-05-23 20:41:45.188603+00:00,,t,cluster_13,unidentified,72202317793341135,648518346479662299,[  5034 120462   1154]
883,2025-05-23 20:41:45.210084+00:00,,t,cluster_16,CS_field,72343124001161481,648518346514065118,[  8198 121527   1154]
884,2025-05-23 20:41:45.232486+00:00,,t,cluster_16,CS_field,72343124001138845,648518346513692202,[  9186 121896   1154]
885,2025-05-23 20:41:45.253249+00:00,,t,cluster_16,CS_field,72413561464794987,648518346523995653,[ 10603 122882   1154]
886,2025-05-23 20:41:45.274332+00:00,,t,cluster_18,CO_tegula,72272617817635988,648518346502316614,[  6507 118761   1154]
887,2025-05-23 20:41:45.297420+00:00,,t,cluster_18,CO_tegula,72202249073679004,648518346501403480,[  5950 118092   1154]
888,2025-05-23 20:41:45.322502+00:00,,t,cluster_18,CO_tegula,72272617817654857,648518346472435465,[  6930 118700   1154]
889,2025-05-23 20:41:45.347765+00:00,,t,cluster_18,CO_tegula,72272686537474283,648518346511664752,[  6869 119136   1154]
890,2025-05-23 20:41:45.367567+00:00,,t,cluster_17,CO_tegula,72272686537470511,648518346486025352,[  7447 119099   1154]
891,2025-05-23 20:41:45.388574+00:00,,t,cluster_17,CO_tegula,72272686537487889,648518346526399447,[  7972 119033   1154]
892,2025-05-23 20:41:45.411729+00:00,,t,cluster_17,CO_tegula,72343055281676203,648518346489907763,[  8515 119396   1154]
893,2025-05-23 20:41:45.437378+00:00,,t,cluster_17,CO_tegula,72272686537513892,648518346470385918,[  7987 119267   1154]
894,2025-05-23 20:41:45.460043+00:00,,t,cluster_17,CO_tegula,72202249073751286,648518346513051985,[  6119 118303   1154]
895,2025-05-23 20:41:45.483338+00:00,,t,cluster_19,unidentified,72343124001175612,648518346487376810,[  8649 121077   1154]
896,2025-05-23 20:41:45.504503+00:00,,t,cluster_19,unidentified,72272686537479152,648518346511753809,[  8082 119579   1154]
897,2025-05-23 20:41:45.527488+00:00,,t,cluster_20,CS_field,72132017768233569,648518346494850581,[  4025 120851   1154]
898,2025-05-23 20:41:45.550149+00:00,,t,cluster_20,CS_field,72202386512731511,648518346489794757,[  4686 120959   1154]
899,2025-05-23 20:41:45.574174+00:00,,t,cluster_21,CS_field,72131880329490077,648518346486837937,[  2753 118034   1154]
900,2025-05-23 20:41:45.595572+00:00,,t,cluster_21,CS_field,72131880329501809,648518346489795013,[  3872 117798   1154]
901,2025-05-23 20:41:45.616892+00:00,,t,cluster_21,CS_field,72061580304535439,648518346486837681,[  2022 120026   1154]
902,2025-05-23 20:41:45.638901+00:00,,t,cluster_21,CS_field,72202317793347430,648518346514066398,[  5752 118975   1154]
903,2025-05-23 20:41:45.662404+00:00,,t,cluster_22,CS_field,72272686537479232,648518346488488888,[  7500 119606   1154]
904,2025-05-23 20:41:45.684134+00:00,,t,cluster_22,CS_field,72272686537449839,648518346489617349,[  7358 119934   1154]
905,2025-05-23 20:41:45.705952+00:00,,t,cluster_24,unidentified,72343124001338473,648518346487301267,[  9105 121503   1154]
906,2025-05-23 20:41:45.731124+00:00,,t,cluster_23,CS_field,72343124001180334,648518346486127556,[  9847 121889   1154]
907,2025-05-23 20:41:45.753489+00:00,,t,cluster_25,unidentified,72343055281484344,648518346489421164,[  8247 120307   1072]
908,2025-05-23 20:41:45.772810+00:00,,t,cluster_29,CS_field,72272686537449415,648518346491760751,[  6600 119424   1154]
909,2025-05-23 20:41:45.794143+00:00,,t,cluster_26_27_28,CS_field,72272686537657240,648518346485032861,[  6410 119043   1154]
910,2025-05-23 20:41:45.816594+00:00,,t,cluster_26_27_28,CS_field,72202317793293431,648518346489951071,[  5341 119034   1154]
911,2025-05-23 20:41:45.837789+00:00,,t,cluster_26_27_28,CS_field,72202317793400752,648518346467538439,[  4430 119121   1154]
912,2025-05-23 20:41:45.860231+00:00,,t,cluster_26_27_28,CS_field,72131949049022506,648518346489951839,[  4071 119115   1154]
913,2025-05-23 20:41:45.885848+00:00,,t,cluster_26_27_28,CS_field,72202317793290879,648518346501649240,[  4116 120505   1154]
914,2025-05-23 20:41:45.909288+00:00,,t,cluster_26_27_28,CS_field,72202317793280062,648518346484929101,[  6101 119212   1154]
915,2025-05-23 20:41:45.930613+00:00,,t,cluster_26_27_28,CS_field,72202317793294168,648518346489951583,[  5765 119229   1154]
916,2025-05-23 20:41:45.954281+00:00,,t,cluster_26_27_28,CS_field,72202249073736217,648518346479777765,[  5703 118509   1154]
917,2025-05-23 20:41:45.977545+00:00,,t,cluster_26_27_28,CS_field,72202249073730849,648518346505068934,[  5656 118312   1154]
918,2025-05-23 20:41:46.001357+00:00,,t,cluster_26_27_28,CS_field,72343124001142256,648518346487335082,[  8259 121825   1154]
919,2025-05-23 20:41:46.021571+00:00,,t,cluster_26_27_28,CS_field,72272686537490985,648518346495891558,[  7033 120265   1154]
920,2025-05-23 20:41:46.042847+00:00,,t,cluster_26_27_28,CS_field,72413492745303462,648518346472382217,[ 10664 122446   1154]
921,2025-05-23 20:41:46.063212+00:00,,t,cluster_26_27_28,CS_field,72272755256922463,648518346488414857,[  7378 120860   1154]
922,2025-05-23 20:41:46.084611+00:00,,t,cluster_26_27_28,CS_field,72343124001151954,648518346507115807,[  8974 122463   1154]
923,2025-05-23 20:41:46.107350+00:00,,t,cluster_26_27_28,CS_field,72343124001358194,648518346501131363,[  8896 122292   1154]
924,2025-05-23 20:41:46.127174+00:00,,t,cluster_26_27_28,CS_field,72413492745608953,648518346472774665,[ 10289 122858   1154]
925,2025-05-23 20:41:46.149588+00:00,,t,cluster_26_27_28,CS_field,72272686537548633,648518346483087692,[  6745 119778   1154]
926,2025-05-23 20:41:46.170502+00:00,,t,cluster_26_27_28,CS_field,72343124001151874,648518346478646868,[  9518 122320   1154]
927,2025-05-23 20:41:46.191750+00:00,,t,cluster_26_27_28,CS_field,72343124001146543,648518346486530696,[  8961 122044   1154]
928,2025-05-23 20:41:46.212579+00:00,,t,cluster_26_27_28,CS_field,72202386512733136,648518346505069190,[  4333 121004   1154]
